company_name,ticker,sector
Reliance Industries,RELIANCE.NS,Energy
Tata Consultancy Services,TCS.NS,IT
HDFC Bank,HDFCBANK.NS,Banking
Infosys,INFY.NS,IT
ICICI Bank,ICICIBANK.NS,Banking
Hindunilvr,HINDUNILVR.NS,FMCG
Hindustan Unilever,HINDUNILVR.NS,FMCG
State Bank of India,SBIN.NS,Banking
SBI,SBIN.NS,Banking
Bajaj Finance,BAJFINANCE.NS,Finance
Bharti Airtel,BHARTIARTL.NS,Telecom
Airtel,BHARTIARTL.NS,Telecom
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
Kotak Bank,KOTAKBANK.NS,Banking
Larsen and Toubro,LT.NS,Infrastructure
L&T,LT.NS,Infrastructure
Asian Paints,ASIANPAINT.NS,Consumer
Axis Bank,AXISBANK.NS,Banking
Maruti Suzuki,MARUTI.NS,Auto
Maruti,MARUTI.NS,Auto
Sun Pharmaceutical,SUNPHARMA.NS,Pharma
Sun Pharma,SUNPHARMA.NS,Pharma
ITC,ITC.NS,FMCG
ITC Limited,ITC.NS,FMCG
Titan Company,TITAN.NS,Consumer
Titan,TITAN.NS,Consumer
Wipro,WIPRO.NS,IT
Ultratech Cement,ULTRACEMCO.NS,Cement
UltraTech,ULTRACEMCO.NS,Cement
HCL Technologies,HCLTECH.NS,IT
HCL Tech,HCLTECH.NS,IT
Tech Mahindra,TECHM.NS,IT
Nestle India,NESTLEIND.NS,FMCG
Nestle,NESTLEIND.NS,FMCG
Power Grid,POWERGRID.NS,Power
NTPC,NTPC.NS,Power
NTPC Limited,NTPC.NS,Power
Tata Motors,TATAMOTORS.NS,Auto
Bajaj Auto,BAJAJ-AUTO.NS,Auto
Dr Reddys Laboratories,DRREDDY.NS,Pharma
Dr Reddys,DRREDDY.NS,Pharma
Cipla,CIPLA.NS,Pharma
Divi Laboratories,DIVISLAB.NS,Pharma
Divis Lab,DIVISLAB.NS,Pharma
Grasim Industries,GRASIM.NS,Cement
JSW Steel,JSWSTEEL.NS,Metals
Tata Steel,TATASTEEL.NS,Metals
Eicher Motors,EICHERMOT.NS,Auto
Royal Enfield,EICHERMOT.NS,Auto
Hindalco Industries,HINDALCO.NS,Metals
Hindalco,HINDALCO.NS,Metals
Adani Ports,ADANIPORTS.NS,Infrastructure
Adani Enterprises,ADANIENT.NS,Conglomerate
Adani Green Energy,ADANIGREEN.NS,Energy
Apollo Hospitals,APOLLOHOSP.NS,Healthcare
IndusInd Bank,INDUSINDBK.NS,Banking
Bajaj Finserv,BAJAJFINSV.NS,Finance
ONGC,ONGC.NS,Energy
Oil and Natural Gas,ONGC.NS,Energy
Coal India,COALINDIA.NS,Energy
Hero MotoCorp,HEROMOTOCO.NS,Auto
Britannia,BRITANNIA.NS,FMCG
Shree Cement,SHREECEM.NS,Cement
Tata Consumer Products,TATACONSUM.NS,FMCG
Vedanta,VEDL.NS,Metals
Torrent Pharma,TORNTPHARM.NS,Pharma
Pidilite Industries,PIDILITIND.NS,Consumer
Zydus Lifesciences,ZYDUSLIFE.NS,Pharma
Zydus,ZYDUSLIFE.NS,Pharma
Havells India,HAVELLS.NS,Consumer Durables
Havells,HAVELLS.NS,Consumer Durables
Marico,MARICO.NS,FMCG
Godrej Consumer Products,GODREJCP.NS,FMCG
Godrej,GODREJCP.NS,FMCG
Muthoot Finance,MUTHOOTFIN.NS,Finance
Bosch India,BOSCHLTD.NS,Auto Ancillary
Bosch,BOSCHLTD.NS,Auto Ancillary
Siemens India,SIEMENS.NS,Industrial
